,recno,HCG,m_HCG,RAB1950,DEB1950,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
233,234,51,g,169.9562083333333,24.56933333333333,7.0,5.7,cI,13,,,,,16.34,1,19.7,15.03,1,22.5,1.27,15.92,15.73,0.2,-18.7,
234,235,52,a,170.92216666666664,21.371166666666664,24.9,14.3,SBab,4,,12979,38,0,15.54,0,38.9,13.88,0,47.9,1.57,15.28,14.9,0.1,,
235,236,52,b,170.91191666666666,21.381916666666665,21.0,4.7,Sc,7,,13040,73,0,16.83,0,21.2,15.24,0,25.3,1.53,16.37,15.66,0.2,,
236,237,52,c,170.92329166666664,21.32983333333333,23.8,7.9,Scd,8,,12630,61,0,16.68,0,23.7,15.41,0,28.9,1.17,16.26,15.69,0.2,,
237,238,52,d,170.91116666666665,21.363138888888887,8.2,6.1,Sdm,10,,6293,65,0,17.7,0,15.6,16.68,0,17.3,0.97,17.05,16.76,0.2,,
238,239,53,a,171.55420833333332,21.070916666666665,69.6,23.4,SBbc,6,,6261,31,0,13.87,0,75.3,12.52,0,86.3,1.3,13.48,12.91,0.2,,N3697 U6479
239,240,53,b,171.5944583333333,21.015055555555552,24.5,14.3,S0,1,m,6166,81,0,15.11,1,35.2,13.44,1,46.9,1.57,15.01,14.73,0.2,,
240,241,53,c,171.58837499999998,21.025638888888885,19.5,12.0,SBd,9,m,6060,50,0,15.26,1,37.9,14.22,1,43.6,1.0,15.17,14.81,0.2,,Mk1296
241,242,53,d,171.65599999999998,21.049249999999997,14.8,8.2,Sc,7,,9070,174,2,16.78,0,21.5,15.44,0,26.6,1.22,16.66,16.27,0.1,,
242,243,54,a,171.658,20.85922222222222,11.6,11.6,Sdm,10,m,1397,46,0,14.16,1,44.9,13.94,1,63.2,0.88,14.05,13.86,0.2,,I700 U6487
243,244,54,b,171.6533333333333,20.857138888888887,5.7,3.9,Im,12,m,1412,33,0,16.38,1,22.7,15.55,1,28.7,0.7,16.43,16.08,0.2,,
244,245,54,c,171.66254166666664,20.86211111111111,4.8,4.4,Im,12,m,1420,35,0,17.05,1,20.5,16.24,1,26.1,0.65,17.0,16.8,0.7,,
245,246,54,d,171.66354166666665,20.86425,5.4,2.5,Im,12,,1670,50,0,18.26,1,11.9,17.85,1,13.1,0.53,18.54,18.02,0.2,,
246,247,55,a,172.28516666666664,71.0915,13.2,12.9,E0,0,,15820,100,0,16.25,1,23.1,14.36,1,38.8,1.67,15.71,15.43,0.2,-20.6,U6514
247,248,55,b,172.27912499999996,71.0826111111111,7.9,7.0,S0,1,,15690,100,0,16.88,1,15.9,15.0,1,26.1,1.68,16.37,16.06,0.2,-20.0,U6514
248,249,55,c,172.2799583333333,71.08705555555555,17.2,11.3,E3,0,m,15480,100,0,17.43,1,18.8,15.31,1,32.8,1.83,16.88,16.6,0.2,-19.4,U6514
249,250,55,d,172.28491666666665,71.09744444444443,8.2,6.6,E2,0,,16070,100,0,17.63,1,12.6,15.62,1,20.5,1.81,17.09,16.81,0.2,-19.2,U6514
250,251,55,e,172.28787499999999,71.0948611111111,6.6,5.0,Sc,7,,36880,100,0,18.03,1,15.3,16.52,1,18.7,1.35,17.44,17.06,0.2,,U6514
251,252,56,a,172.5077083333333,53.21708333333333,27.9,7.0,Sc,7,m,8245,35,0,16.36,0,24.3,14.81,0,27.1,1.51,15.96,15.24,0.2,-19.4,Mk176
252,253,56,b,172.4817083333333,53.22666666666666,17.1,10.4,SB0,1,m,7919,38,0,15.0,1,33.6,13.52,1,41.2,1.43,14.83,14.5,0.2,-20.0,U6257
253,254,56,c,172.4659583333333,53.223722222222214,18.4,14.0,S0,1,m,8110,28,0,15.87,1,23.7,14.27,1,30.7,1.52,15.66,15.37,0.2,-19.2,U6257
254,255,56,d,172.4600833333333,53.223388888888884,12.5,7.9,S0,1,m,8346,56,0,17.01,1,18.7,15.32,1,24.4,1.62,16.84,16.52,0.2,-18.1,U6257
255,256,56,e,172.44937499999997,53.2153611111111,12.5,9.5,S0,1,m,7924,63,0,16.54,0,20.3,15.19,0,29.3,1.2,16.52,16.23,0.1,-18.3,
256,257,57,a,173.82191666666665,22.257749999999998,51.5,19.1,Sb,5,m,8727,31,0,14.66,1,56.6,12.74,1,81.1,1.73,14.52,13.99,0.2,-20.7,N3753 U6602a
257,258,57,b,173.7797083333333,22.286222222222218,30.0,18.9,SBb,5,m,9022,20,0,15.15,0,43.5,13.45,0,53.7,1.55,14.67,14.32,0.2,-20.5,N3746 U6597
258,259,57,c,173.8134583333333,22.250749999999996,27.4,21.0,E3,0,m,9081,36,0,15.23,1,35.1,13.52,1,49.1,1.57,14.82,14.63,0.2,-20.2,N3750
259,260,57,d,173.8275,22.26255555555555,17.3,15.5,SBc,7,m,8977,41,0,15.2,1,44.3,14.06,1,47.4,1.26,14.74,14.51,0.2,-20.3,N3754
260,261,57,e,173.80262499999998,22.302666666666664,18.0,9.1,S0a,2,m,8992,105,0,15.91,0,43.5,14.1,0,36.5,1.71,15.76,15.37,0.1,-19.4,N3748
261,262,57,f,173.8232083333333,22.212999999999997,20.8,12.0,E4,0,m,9594,105,0,15.23,0,48.0,14.07,0,53.8,1.07,15.41,15.22,0.1,-19.7,N3751
262,263,57,g,173.7835833333333,22.29772222222222,13.4,7.9,SB0,1,m,9416,105,0,16.35,0,16.4,14.56,0,14.6,1.65,16.12,15.84,0.1,-19.0,N3745
263,264,57,h,173.80899999999997,22.288777777777774,10.0,8.5,SBb,5,,,,,17.38,0,16.7,15.75,0,20.6,1.53,16.99,16.75,0.1,-18.1,
264,265,58,a,174.90129166666665,10.55511111111111,36.7,24.0,Sb,5,m,6138,20,0,14.28,3,58.2,12.97,3,55.7,1.31,13.89,13.56,0.2,-20.4,N3822 U6661
265,266,58,b,174.95341666666664,10.541638888888887,40.1,32.3,SBab,4,,6503,17,0,14.1,3,74.6,12.52,3,76.1,1.57,13.66,13.4,0.2,-20.7,N3825 U6668
266,267,58,c,174.8265833333333,10.58147222222222,30.6,22.4,SB0a,2,m,6103,19,0,14.51,3,55.3,13.24,3,55.0,1.27,14.11,13.83,0.2,-20.1,N3817 U6657
267,268,58,d,174.8797083333333,10.628277777777777,28.4,25.0,E1,0,m,6270,27,0,15.14,3,43.1,13.62,3,48.8,1.48,14.67,14.49,0.2,-19.5,N3819
268,269,58,e,174.87524999999997,10.661277777777777,23.2,14.1,Sbc,6,m,6052,33,0,15.59,3,32.5,14.33,3,37.4,1.2,15.21,14.86,0.2,-19.1,N3820
269,270,59,a,176.4704583333333,13.005277777777776,17.7,16.3,Sa,3,m,4109,31,0,14.96,0,38.1,13.48,0,53.4,1.38,14.73,14.52,0.1,-18.6,I736
270,271,59,b,176.43979166666665,12.994083333333332,15.0,14.4,E0,0,m,3908,58,0,15.92,1,29.1,14.22,1,42.2,1.55,15.38,15.2,0.2,-17.8,
271,272,59,c,176.49116666666663,12.983194444444443,24.7,7.0,Sc,7,,4347,38,0,16.04,1,32.8,15.05,1,32.6,1.03,15.0,14.4,0.5,-18.8,
272,273,59,d,176.4838333333333,13.007749999999998,17.7,11.5,Im,12,m,3866,36,0,16.29,1,28.0,15.21,1,38.5,0.77,16.17,15.8,0.2,-17.3,1737
273,274,59,e,176.43699999999998,13.035305555555553,12.8,6.3,Scd,8,,23700,240,0,17.76,1,16.8,16.06,0,20.8,1.58,17.0,16.6,0.5,,
274,275,60,a,180.14262499999998,51.95341666666666,17.3,13.4,E2,0,,19007,46,0,16.08,0,31.6,14.14,1,45.5,1.76,15.27,15.04,0.2,-21.4,
275,276,60,b,180.09899999999996,51.97347222222221,11.3,7.0,E4,0,m,18318,90,1,17.24,0,18.9,15.37,0,26.7,1.69,16.2,16.0,0.5,-20.4,
276,277,60,c,180.14166666666665,51.963583333333325,11.1,7.8,SBc,7,,19277,180,0,17.39,1,19.9,15.63,1,27.4,1.6,16.51,16.16,0.2,-20.4,
277,278,60,d,180.15354166666665,51.956333333333326,9.4,6.7,S0,1,,18300,154,1,17.2,1,19.5,15.41,1,26.8,1.61,16.45,16.16,0.2,-20.2,
278,279,61,a,182.44416666666663,29.45783333333333,54.3,33.7,S0a,2,m,3784,18,0,13.2,0,89.7,11.67,0,101.1,1.5,13.15,12.82,0.1,,N4169 U7202
279,280,61,b,182.45129166666663,29.48983333333333,103.7,27.1,Im,12,,1127,20,0,13.73,1,91.3,12.81,1,98.8,0.94,13.36,12.59,0.2,,N4173 U7204
280,281,61,c,182.4959583333333,29.446555555555552,51.8,15.5,Sbc,6,m,3956,20,0,14.31,0,57.4,12.71,0,68.0,1.56,14.14,13.53,0.1,,N4175 U7211
281,282,61,d,182.47849999999997,29.427138888888884,25.6,13.7,S0,1,m,3980,30,0,14.48,0,38.7,13.05,0,45.6,1.4,14.42,14.12,0.1,,N4174 Mk761 U7206
282,283,62,a,192.62374999999997,-8.93325,52.3,34.3,E3,0,m,4355,38,0,13.79,1,59.9,11.25,1,129.3,2.0,13.58,13.36,0.2,-19.8,
283,284,62,b,192.61799999999997,-8.927555555555553,44.2,33.3,S0,1,,3651,41,0,14.21,1,42.9,12.04,1,99.9,1.71,14.03,13.76,0.2,-19.1,
284,285,62,c,192.64083333333332,-8.926777777777776,24.6,12.3,S0,1,m,4359,37,0,15.0,1,40.2,13.59,1,31.9,1.45,14.91,14.57,0.2,-18.6,
285,286,62,d,192.62758333333332,-8.986777777777776,19.9,16.8,E2,0,,4123,76,0,16.3,0,19.7,14.11,0,52.8,1.71,16.03,15.81,0.1,-17.3,
286,287,63,a,194.88599999999997,-32.493694444444436,33.0,7.9,SBbc,6,,5228,29,0,15.03,3,44.4,13.49,3,57.8,1.43,14.8,13.97,0.2,,
287,288,63,b,194.84304166666664,-32.51877777777777,41.7,22.3,SBc,7,m,9346,29,0,14.47,3,60.4,14.07,3,59.5,0.41,13.82,13.27,0.2,,
288,289,63,c,194.86724999999998,-32.49861111111111,16.6,14.9,SBc,7,,9460,112,0,15.66,3,34.8,14.54,3,36.6,1.1,15.27,14.9,0.2,,
289,290,63,d,194.83154166666665,-32.506499999999996,8.9,6.6,Sc,7,m,9141,133,0,17.51,3,15.3,16.44,3,20.7,0.83,17.23,16.79,0.2,,
290,291,64,a,200.79112499999997,-3.6042222222222215,39.9,13.4,SBc,7,m,10596,46,0,15.58,1,41.2,13.89,1,90.8,1.48,15.3,14.7,0.5,,
291,292,64,b,200.7817083333333,-3.5931388888888884,26.9,15.3,Scd,8,m,10723,32,0,16.74,1,20.6,15.06,1,71.3,1.42,16.25,15.84,0.2,,
292,293,64,c,200.76766666666663,-3.554833333333333,20.7,17.1,Sd,0,,6147,76,0,15.6,5,16.0,15.1,5,85.0,0.8,14.9,14.7,0.5,,
293,294,64,d,200.77824999999999,-3.5901666666666663,6.2,4.1,S0,1,,11100,89,0,17.98,1,11.8,16.36,1,65.1,1.42,17.48,17.19,0.2,,
294,295,65,a,201.76233333333332,-29.256777777777774,37.0,26.8,E3,0,m,14105,44,0,14.67,0,57.7,12.88,1,77.2,1.59,14.03,13.71,0.1,-22.1,
295,296,65,b,201.77887499999997,-29.239416666666664,27.4,11.9,S0,1,,14700,55,1,15.49,1,42.2,14.16,1,47.8,1.63,15.01,14.54,0.2,-21.3,
296,297,65,c,201.77241666666663,-29.234027777777772,19.0,14.8,E2,0,m,14243,46,0,15.79,1,34.8,13.7,1,58.0,1.66,15.15,14.83,0.2,-20.9,
297,298,65,d,201.7674583333333,-29.25519444444444,10.0,7.0,E3,0,m,13733,27,0,15.94,1,34.9,13.93,1,48.4,1.77,15.26,14.94,0.2,-20.8,
298,299,65,e,201.78129166666665,-29.233638888888883,4.5,4.5,E0,0,m,14405,107,0,17.01,1,23.4,15.66,1,27.2,1.43,15.37,15.05,0.2,-20.8,
299,300,66,a,204.2015833333333,57.5656111111111,13.4,11.6,E1,0,,20688,36,0,16.15,1,26.6,14.15,1,43.9,1.78,15.58,15.38,0.2,-21.2,
300,301,66,b,204.21062499999996,57.56572222222221,12.8,5.9,S0,1,,21472,64,0,17.27,1,18.5,15.39,1,28.9,1.68,16.84,16.5,0.2,-20.2,
301,302,66,c,204.18816666666663,57.56155555555555,9.6,4.7,S0,1,,20801,74,0,17.16,1,15.8,15.32,1,24.4,1.67,16.72,16.39,0.2,-20.2,
302,303,66,d,204.18533333333332,57.55769444444444,5.0,4.2,E2,0,,20850,76,0,18.22,1,10.5,16.26,1,16.8,1.76,17.65,17.45,0.2,-19.2,
303,304,67,a,206.64074999999997,-6.976055555555555,58.8,54.4,E1,0,m,7262,26,0,13.43,1,86.9,11.73,1,115.5,1.59,12.97,12.74,0.2,-21.6,
304,305,67,b,206.59162499999996,-6.9474166666666655,68.4,12.3,Sc,7,m,7644,45,0,15.26,0,48.1,14.64,0,42.2,1.75,14.71,13.89,0.2,-20.5,
305,306,67,c,206.64574999999996,-6.961333333333332,19.9,14.4,Scd,8,m,7430,45,0,15.83,1,38.7,14.21,1,39.9,1.3,15.4,15.06,0.2,-19.3,
306,307,67,d,206.63437499999998,-6.98361111111111,16.5,9.8,S0,1,m,7071,43,0,15.94,1,30.2,13.28,1,72.6,1.6,15.57,15.25,0.2,-19.0,
307,308,68,a,207.83162499999997,40.52847222222222,77.4,59.9,S0,1,m,2162,27,0,12.04,1,112.3,10.19,1,197.3,1.63,12.08,11.84,0.08,-19.8,N5353 U8813
308,309,68,b,207.83208333333332,40.547999999999995,86.4,71.1,E2,0,m,2635,23,0,12.52,1,114.3,10.56,1,234.1,1.63,12.44,12.24,0.06,-19.9,N5354 U8814
309,310,68,c,207.8117083333333,40.608888888888885,76.7,61.9,SBbc,6,m,2313,38,0,12.11,2,134.3,10.9,2,166.4,1.1,12.2,11.93,0.2,-19.9,N5350 Mk1485 U8810
310,311,68,d,207.91162499999996,40.58347222222222,31.1,21.8,E3,0,m,2408,29,0,14.27,0,52.8,12.97,0,54.4,1.3,13.93,13.73,0.1,-18.2,N5355 U8819
311,312,68,e,207.97029166666664,40.51855555555555,35.2,15.5,S0,1,,2401,27,0,14.74,0,43.7,13.27,0,56.4,1.4,14.56,14.22,0.1,-17.7,N5358 U8826
312,313,69,a,208.29637499999998,25.318277777777773,47.5,11.1,Sc,7,m,8856,48,0,15.93,1,39.4,14.19,1,53.7,1.57,15.66,14.94,0.2,-19.8,U8842
313,314,69,b,208.3153333333333,25.293944444444442,14.8,11.3,SBb,5,m,8707,36,0,16.09,0,23.8,14.52,0,31.1,1.49,15.9,15.59,0.1,-19.1,
314,315,69,c,208.30791666666664,25.31866666666666,13.4,11.0,S0,1,,8546,44,0,15.93,1,25.0,14.36,1,32.1,1.45,15.19,14.94,0.2,-19.7,U8842
315,316,69,d,208.2900833333333,25.31797222222222,10.8,7.0,SB0,1,,9149,55,0,17.04,1,18.1,15.4,1,24.1,1.51,16.35,16.06,0.2,-18.8,U8842
316,317,70,a,210.4964583333333,33.57619444444444,35.0,7.0,S0a,2,,8238,25,0,15.3,1,30.3,13.66,1,37.6,1.6,15.21,14.5,0.2,,I4371 U8990
317,318,70,b,210.49949999999998,33.54644444444444,22.7,15.5,SBa,3,,8198,47,0,15.26,0,35.5,13.71,0,42.4,1.51,15.1,14.75,0.1,,I4369
318,319,70,c,210.53979166666664,33.56005555555555,25.6,7.3,Sbc,6,,8079,48,0,16.17,0,26.5,14.85,0,30.5,1.27,15.69,15.03,0.2,,
319,320,70,d,210.4958333333333,33.58441666666666,11.1,9.1,Sc,7,,18846,49,0,16.24,1,23.2,14.81,1,27.6,1.38,15.71,15.42,0.2,-21.0,I4370
320,321,70,e,210.47862499999997,33.55936111111111,12.8,11.9,Sbc,6,,19117,55,0,16.32,0,24.1,15.06,0,26.4,1.24,16.16,15.91,0.1,-20.5,
321,322,70,f,210.47224999999997,33.56769444444444,7.9,6.4,SBb,5,,19243,130,0,17.25,0,17.4,16.36,0,18.2,0.88,16.69,16.4,0.2,-20.0,
322,323,70,g,210.4544583333333,33.570388888888886,7.2,6.4,Sa,3,,19010,90,0,16.43,0,16.7,14.93,0,24.3,1.39,16.65,16.39,0.1,-20.0,
323,324,71,a,212.16866666666664,25.73158333333333,31.5,25.8,SBc,7,,9320,17,0,14.57,0,53.4,13.28,0,57.9,1.27,14.05,13.75,0.2,,I4381 U9073
324,325,71,b,212.1915833333333,25.75447222222222,18.1,5.4,Sb,5,m,9335,65,0,15.56,0,22.6,14.21,0,25.8,1.33,15.55,14.9,0.1,,14382
325,326,71,c,212.2024583333333,25.717361111111106,13.7,9.9,SBc,7,,8450,76,1,16.43,0,25.2,15.44,0,26.0,0.97,15.9,15.56,0.1,,
326,327,71,d,212.21541666666664,25.692472222222218,7.9,5.4,S0,1,,20590,103,1,17.18,0,14.9,15.41,0,20.0,1.69,17.22,16.92,0.1,,
327,328,72,a,221.39654166666665,19.284527777777775,15.1,6.0,Sa,3,,12506,36,0,16.28,0,20.3,14.56,0,26.1,1.66,14.43,13.86,0.2,-21.6,
328,329,72,b,221.4023333333333,19.26797222222222,15.7,6.7,S0,1,m,12356,38,0,16.14,1,27.4,14.43,1,37.7,1.57,15.88,15.48,0.2,-20.0,U9532
329,330,72,c,221.4107083333333,19.252499999999998,11.1,8.8,E2,0,m,13062,40,0,16.12,1,30.3,14.44,1,40.6,1.54,15.72,15.47,0.2,-20.1,
330,331,72,d,221.40616666666665,19.264527777777776,12.0,7.4,SB0,1,m,12558,45,0,16.3,1,26.6,14.32,1,37.2,1.86,15.98,15.64,0.2,-19.9,
331,332,72,e,221.40399999999997,19.258916666666664,7.4,7.4,Scd,8,,24050,288,1,18.56,1,13.6,17.2,1,16.1,1.19,18.0,17.8,0.5,,
332,333,72,f,221.40295833333332,19.255277777777774,9.1,6.0,S0,1,,13950,103,0,18.59,1,10.6,17.03,1,13.5,1.41,18.25,17.93,0.2,,
333,334,73,a,225.12104166666663,23.527916666666663,41.5,30.8,Scd,8,,5728,43,0,14.14,0,76.3,12.93,0,89.2,1.13,13.68,13.3,0.1,,N5829 U9673
334,335,73,b,225.10524999999996,23.544361111111108,11.4,8.7,Im,12,m,13600,107,0,17.02,0,22.7,14.59,0,40.1,2.11,16.61,16.22,0.1,,
335,336,73,c,225.1539583333333,23.553749999999997,7.2,5.9,S0,1,,13300,75,0,17.0,0,16.2,15.1,0,26.7,1.7,16.94,16.63,0.1,,
336,337,73,d,225.0777083333333,23.563916666666664,9.4,3.0,Sb,5,,13480,103,0,18.66,0,9.9,16.13,0,16.9,2.25,18.22,17.55,0.1,,
337,338,73,e,225.0762083333333,23.52222222222222,9.1,5.4,Sd,9,,28500,109,1,17.92,0,12.2,16.65,0,14.1,1.2,17.52,17.07,0.2,,
338,339,74,a,229.2945833333333,21.076138888888885,24.7,23.0,E1,0,m,12255,30,0,14.96,1,48.1,12.75,1,88.1,1.9,14.35,14.06,0.2,-21.4,
339,340,74,b,229.2923333333333,21.070388888888886,18.5,12.9,E3,0,,12110,43,0,15.97,1,28.2,13.79,1,51.0,1.88,15.36,15.07,0.2,-20.4,
340,341,74,c,229.29987499999996,21.079527777777773,13.5,9.0,S0,1,,12266,43,0,17.0,1,17.9,14.89,1,32.1,1.83,16.46,16.1,0.2,-19.4,
341,342,74,d,229.32416666666663,21.063055555555554,9.8,7.9,E2,0,,11681,42,0,17.06,0,17.4,15.02,0,28.2,1.85,16.61,16.32,0.1,-19.0,
342,343,74,e,229.3075833333333,21.08847222222222,5.9,3.8,S0,1,,11489,97,0,18.6,0,8.4,16.54,0,15.3,1.79,18.17,17.8,0.1,,
343,344,75,a,229.81949999999998,21.368611111111107,21.9,16.0,E4,0,m,12538,42,0,15.32,1,36.9,13.49,1,50.1,1.96,15.5,15.2,0.5,-20.3,
344,345,75,b,229.81924999999995,21.371,19.0,5.2,Sb,5,m,12228,43,0,17.93,1,14.8,15.36,1,26.9,1.96,15.6,14.9,0.7,-20.6,
345,346,75,c,229.85429166666663,21.35522222222222,10.5,7.0,S0,1,,12292,56,0,16.67,1,25.4,15.1,1,27.2,1.54,16.29,15.93,0.2,-19.5,
346,347,75,d,229.84774999999996,21.35975,9.8,5.4,Sd,9,m,12334,42,0,16.7,1,21.0,15.4,1,21.8,1.3,16.32,15.82,0.2,-19.7,
347,348,75,e,229.83466666666664,21.35722222222222,12.1,5.5,Sa,3,m,12300,300,0,17.1,0,15.1,15.33,0,19.2,1.71,16.93,16.36,0.1,-19.1,
